team,player,alt,song,artist,notes
Boston Red Sox,Addison Reed,0,Breaking News,Machine Gun Kelly,
Boston Red Sox,Andrew Benintendi,0,I Love This Life,Locash,
Boston Red Sox,Blaine Boyer,0,Sweet Emotion,Aerosmith,
Boston Red Sox,Brandon Workman,0,Running Outta Moonlight,Randy Houser,
Boston Red Sox,Brian Johnson,0,Small Town Boy,Dustin Lynch,
Boston Red Sox,Brock Holt,0,Ragged As The Road,Reckless Kelly,
Boston Red Sox,Chris Sale,0,Fly In,Lil Wayne,Instrumental Remake
Boston Red Sox,Chris Young,0,DNA,Kendrick Lamar,
Boston Red Sox,Chris Young,1,Moves,Big Sean,
Boston Red Sox,Christian Vazquez,0,Dema Ga Ge Gi Go Gu,Bad Bunny,Ft. El Alfa El Jefe
Boston Red Sox,Craig Kimbrel,0,Stranglehold,Ted Nugent,
Boston Red Sox,David Price,0,Knockin' Doorz Down,Pimp C,
Boston Red Sox,Deven Marrero,0,D.O.P.E. Ft. Future,Rick Ross,
Boston Red Sox,Doug Fister,0,Country Girl (Shake It For Me),Luke Bryan,
Boston Red Sox,Doug Fister,1,Real Good Man,Tim McGraw,
Boston Red Sox,Drew Pomeranz,0,Something Just Like This,The Chainsmokers & Coldplay,
Boston Red Sox,Dustin Pedroia,0,Dre Day Ft. Snoop Dogg,Dr. Dre,
Boston Red Sox,Eduardo Rodriguez,0,Dame Banda De Camión,El Alfa El Jefe,
Boston Red Sox,Fernando Abad,0,Dios Te Bendiga,Arcangel,
Boston Red Sox,Hanley Ramirez,0,White Iverson,Post Malone,
Boston Red Sox,Heath Hembree,0,Fortunate Son,Creedence Clearwater Revival,
Boston Red Sox,Jackie Bradley Jr.,0,Poppin' Bottles Ft. Drake,T.I.,
Boston Red Sox,Joe Kelly,0,Party Up (Up In Here),DMX,
Boston Red Sox,Matt Barnes,0,Spack Jarrow,W&W And MOTi,
Boston Red Sox,Mitch Moreland,0,That's Alright With Me,Kip Moore,
Boston Red Sox,Mookie Betts,0,30 For 30,FluGameQ,Ft. Lil Ounce
Boston Red Sox,Mookie Betts,1,I Love My City,Ernest K,
Boston Red Sox,Rajai Davis,0,Jesus,Kirk Franklin,
Boston Red Sox,Rajai Davis,1,Yes You Can,Marvin Sapp,
Boston Red Sox,Rick Porcello,0,All Along The Watchtower,Jimi Hendrix,
Boston Red Sox,Robby Scott,0,The Lonesome Boatman,Dropkick Murphys,
Boston Red Sox,Sandy Leon,0,Espiritu Santo,Redimi2,Ft. Barak
Boston Red Sox,Xander Bogaerts,0,X Gon' Give It To Ya,DMX,
New York Yankees,Aaron Hicks,0,My Friends,Mr. Hotspot,
New York Yankees,Aaron Hicks,1,Return Of The Mack,Mark Morrison,
New York Yankees,Aaron Judge,0,Through The Late Night,Travis Scott,
New York Yankees,Adam Warren,0,Pour Some Sugar On Me,Def Leppard,
New York Yankees,Aroldis Chapman,0,La Gozadera,Gente De Zona,Ft. Marc Anthony
New York Yankees,Aroldis Chapman,1,Wake Up,Rage Against The Machine,
New York Yankees,Austin Romine,0,Magic Carpet Ride,Steppenwolf,
New York Yankees,Austin Romine,1,Sweet Emotion,Aerosmith,
New York Yankees,Brett Gardner,0,We Went,Randy Houser,
New York Yankees,Bryan Mitchell,0,Tunnel Vision,Kodak Black,
New York Yankees,CC Sabathia,0,Big Poppa,The Notorious B.I.G.,
New York Yankees,Chase Headley,0,Parachute,Chris Stapleton,
New York Yankees,Chase Headley,1,Take My Life,Jeremy Camp,
New York Yankees,David Robertson,0,Sweet Home Alabama,Lynyrd Skynyrd,
New York Yankees,Dellin Betances,0,American Dreamin',Jay-Z,
New York Yankees,Didi Gregorius,0,Notorious B.I.G.,The Notorious B.I.G.,
New York Yankees,Gary Sanchez,0,Hasta Que Se Seque El Malecón,Jacob Forever,
New York Yankees,Jacoby Ellsbury,0,Can't Have Everything,Drake,
New York Yankees,Jaime Garcia,0,Sabor Al Caldo,La Arrolladora,
New York Yankees,Jonathan Holder,0,Sunshine On The Line,Randy Houser,
New York Yankees,Kyle Higashioka,0,Bark At The Moon,Ozzy Osborne,
New York Yankees,Luis Severino,0,Centuries,Fall Out Boy,
New York Yankees,Matt Holliday,0,The Outsiders,NeedToBreathe,
New York Yankees,Ronald Torreyes,0,Otra Vez,Zion & Lennox,Ft. J Balvin
New York Yankees,Sonny Gray,0,Throwback,B.O.B,Ft. Chris Brown
New York Yankees,Starlin Castro,0,35 Pa Las 12,Fuego,Ft. J Balvin
New York Yankees,Starlin Castro,1,AMG,Farruko,
New York Yankees,Starlin Castro,2,Me Acostumbre,Arcangel,
New York Yankees,Todd Frazier,0,Fly Me To The Moon,Frank Sinatra,
